well	row	ratio	stained	total	time.point	sample	stained_isolate	predator	starting_freq_I7	freq_I7	freq_I6	rel_fitness	freq_I7_previous	replicate
8	F	0.793	1586	2000	3	2	6	YES	0.5	0.20699999999999996	0.793	-0.2773235340026045	0.3125	F2
2	F	0.7765	1553	2000	4	2	6	YES	0.5	0.22350000000000003	0.7765	0.04885959991718058	0.20699999999999996	F2
8	F	0.7865	1573	2000	5	2	6	YES	0.5	0.21350000000000002	0.7865	-0.029285330647267523	0.22350000000000003	F2
3	F	0.961	1922	2000	0	3	6	YES	0.1	0.039000000000000035	0.961	0	0.039000000000000035	F3
9	F	0.963	1926	2000	1	3	6	YES	0.1	0.03700000000000003	0.963	-0.02736136815662759	0.039000000000000035	F3
3	F	0.963	1926	2000	2	3	6	YES	0.1	0.03700000000000003	0.963	0	0.03700000000000003	F3
9	F	0.968	1936	2000	3	3	6	YES	0.1	0.03200000000000003	0.968	-0.07518034266147466	0.03700000000000003	F3
3	F	0.9675	1935	2000	4	3	6	YES	0.1	0.03249999999999997	0.9675	0.008010424454301817	0.03200000000000003	F3
9	F	0.9705	1941	2000	5	3	6	YES	0.1	0.02949999999999997	0.9705	-0.04997290184752289	0.03249999999999997	F3
4	F	0.2065	413	2000	0	4	6	NO	0.9	0.7935	0.20650000000000002	0	0.7935	F4
10	F	0.2715	543	2000	1	4	6	NO	0.9	0.7284999999999999	0.2715000000000001	-0.17956382065205356	0.7935	F4
4	F	0.185	370	2000	2	4	6	NO	0.9	0.815	0.18500000000000005	0.24790340095063423	0.7284999999999999	F4
10	F	0.2565	513	2000	3	4	6	NO	0.9	0.7435	0.25649999999999995	-0.20929609343657585	0.815	F4
4	F	0.2675	535	2000	4	4	6	NO	0.9	0.7324999999999999	0.26750000000000007	-0.028448163367112547	0.7435	F4
10	F	0.3345	669	2000	5	4	6	NO	0.9	0.6655	0.3345	-0.15972100814413884	0.7324999999999999	F4
5	F	0.6795	1359	2000	0	5	6	NO	0.5	0.3205	0.6795	0	0.3205	F5
11	F	0.7205	1441	2000	1	5	6	NO	0.5	0.27949999999999997	0.7205	-0.09773408280697472	0.3205	F5
5	F	0.634	1268	2000	2	5	6	NO	0.5	0.366	0.634	0.19876375090428172	0.27949999999999997	F5
11	F	0.6975	1395	2000	3	5	6	NO	0.5	0.3025	0.6975	-0.14300280759438247	0.366	F5
5	F	0.7	1400	2000	4	5	6	NO	0.5	0.30000000000000004	0.7	-0.005938312081289429	0.3025	F5
11	F	0.7825	1565	2000	5	5	6	NO	0.5	0.21750000000000003	0.7825	-0.21649860574918298	0.30000000000000004	F5
6	F	0.9505	1901	2000	0	6	6	NO	0.1	0.04949999999999999	0.9505	0	0.04949999999999999	F6
12	F	0.9615	1923	2000	1	6	6	NO	0.1	0.03849999999999998	0.9615	-0.1314104156906285	0.04949999999999999	F6
6	F	0.967	1934	2000	2	6	6	NO	0.1	0.03300000000000003	0.967	-0.07992730512585829	0.03849999999999998	F6
12	F	0.962	1924	2000	3	6	6	NO	0.1	0.038000000000000034	0.962	0.07313132152374673	0.03300000000000003	F6
6	F	0.9515	1903	2000	4	6	6	NO	0.1	0.04849999999999999	0.9515	0.12747620107327642	0.038000000000000034	F6
12	F	0.9605	1921	2000	5	6	6	NO	0.1	0.03949999999999998	0.9605	-0.10733871075438436	0.04849999999999999	F6
1	G	0.2295	459	2000	0	1	6	YES	0.9	0.7705	0.22950000000000004	0	0.7705	G1
7	G	0.2845	569	2000	1	1	6	YES	0.9	0.7155	0.2845	-0.14444413991472513	0.7705	G1
1	G	0.196	392	2000	2	1	6	YES	0.9	0.804	0.19599999999999995	0.24461813225916468	0.7155	G1
7	G	0.313	626	2000	3	1	6	YES	0.9	0.687	0.31299999999999994	-0.31267675413312657	0.804	G1
1	G	0.282	564	2000	4	1	6	YES	0.9	0.718	0.28200000000000003	0.07421569821395704	0.687	G1
7	G	0.3425	685	2000	5	1	6	YES	0.9	0.6575	0.3425	-0.14119469588023548	0.718	G1
2	G	0.716	1432	2000	0	2	6	YES	0.5	0.28400000000000003	0.716	0	0.28400000000000003	G2
8	G	0.7755	1551	2000	1	2	6	YES	0.5	0.22450000000000003	0.7755	-0.1574631733174225	0.28400000000000003	G2
2	G	0.705	1410	2000	2	2	6	YES	0.5	0.29500000000000004	0.705	0.18420491448091786	0.22450000000000003	G2
8	G	0.7925	1585	2000	3	2	6	YES	0.5	0.20750000000000002	0.7925	-0.23441935980411693	0.29500000000000004	G2
2	G	0.75	1500	2000	4	2	6	YES	0.5	0.25	0.75	0.12072443870628645	0.20750000000000002	G2
8	G	0.8185	1637	2000	5	2	6	YES	0.5	0.1815	0.8185	-0.2038027272190872	0.25	G2
3	G	0.9585	1917	2000	0	3	6	YES	0.1	0.04149999999999998	0.9585	0	0.04149999999999998	G3
9	G	0.96	1920	2000	1	3	6	YES	0.1	0.040000000000000036	0.96	-0.019188847549448846	0.04149999999999998	G3
9	G	0.9715	1943	2000	3	3	6	YES	0.1	0.02849999999999997	0.9715	-0.17544167559747315	0.040000000000000036	G3
3	G	0.966	1932	2000	4	3	6	YES	0.1	0.03400000000000003	0.966	0.0910669359732677	0.02849999999999997	G3
9	G	0.974	1948	2000	5	3	6	YES	0.1	0.026000000000000023	0.974	-0.13825572801234823	0.03400000000000003	G3
4	G	0.202	404	2000	0	4	6	NO	0.9	0.798	0.20199999999999996	0	0.798	G4
10	G	0.2545	509	2000	1	4	6	NO	0.9	0.7455	0.25449999999999995	-0.14954330091719417	0.798	G4
4	G	0.225	450	2000	2	4	6	NO	0.9	0.775	0.22499999999999998	0.08100416446735555	0.7455	G4
10	G	0.285	570	2000	3	4	6	NO	0.9	0.7150000000000001	0.2849999999999999	-0.15848463236178473	0.775	G4
4	G	0.268	536	2000	4	4	6	NO	0.9	0.732	0.268	0.04250008551254858	0.7150000000000001	G4
10	G	0.382	764	2000	5	4	6	NO	0.9	0.618	0.382	-0.2618628422996696	0.732	G4
5	G	0.653	1306	2000	0	5	6	NO	0.5	0.347	0.653	0	0.347	G5
11	G	0.757	1514	2000	1	5	6	NO	0.5	0.243	0.757	-0.25202473038366413	0.347	G5
5	G	0.663	1326	2000	2	5	6	NO	0.5	0.33699999999999997	0.663	0.2298048751316997	0.243	G5
11	G	0.7175	1435	2000	3	5	6	NO	0.5	0.2825	0.7175	-0.12770116860688985	0.33699999999999997	G5
5	G	0.7375	1475	2000	4	5	6	NO	0.5	0.26249999999999996	0.7375	-0.05046030456750801	0.2825	G5
