row	well	unstained	stained	time.point	sample	stained_species	freq_Pf_ISX	freq_Ec_ISX	rel_fitness_ISX	freq_Pf_previous_ISX	starting_frequency
G	12	97.15	2.85	5	G4	Ec	0.9715	0.009715	-0.4003917502145275	98.7	0
H	1	0.45	99.55	0	H1	Pf	0.9954999999999999	0.009955	0	99.55	1
H	5	0.75	99.2	1	H1	Pf	0.9920000000000001	0.009920000000000002	-0.28944308056146506	99.55	1
H	9	0.1	99.9	2	H1	Pf	0.9990000000000001	0.00999	1.0432366065217848	99.2	1
H	1	0.15	99.8	3	H1	Pf	0.998	0.009980000000000001	-0.347074341448553	99.9	1
H	5	0.15	99.85	4	H1	Pf	0.9984999999999999	0.009984999999999999	0.14409147449808155	99.8	1
H	9	0.05	99.9	5	H1	Pf	0.9990000000000001	0.00999	0.20298286695047146	99.85	1
H	2	98.85	1.15	0	H2	Pf	0.0115	1.15e-4	0	1.15	1
H	6	99.2	0.8	1	H2	Pf	0.008	8e-5	-0.18321997918178481	1.15	1
H	10	99.4	0.6	2	H2	Pf	0.006	6e-5	-0.14484808591174111	0.8	1
H	2	99.15	0.85	3	H2	Pf	0.0085	8.5e-5	0.1754124764824696	0.6	1
H	6	99.4	0.55	4	H2	Pf	0.0055000000000000005	5.500000000000001e-5	-0.21916961079601088	0.85	1
H	10	99.4	0.55	5	H2	Pf	0.0055000000000000005	5.500000000000001e-5	0	0.55	1
H	3	70.852	27.3543	0	H3	none	0.273543	0.00273543	0	27.3543	1
H	7	86.1702	12.766	1	H3	none	0.12766	0.0012766	-0.4725441568413005	27.3543	1
H	11	81.9444	17.3611	2	H3	none	0.17361100000000002	0.0017361100000000001	0.18078016682308595	12.766	1
H	3	59.1346	38.4615	3	H3	none	0.38461500000000004	0.0038461500000000004	0.5451215942256328	17.3611	1
H	7	61	33.5	4	H3	none	0.335	0.00335	-0.10782562729237372	38.4615	1
